"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times1970","full",100,0.8,0,0.2,0.809504950495049,0,0.19049504950495,0.01,"0",1.20763091277586
"event.times1971","low.var",100,0.91,0,0.09,0.854554455445545,0,0.145445544554455,0.01,"0",0.854627437588354
"event.times1972","+high",100,0,0.5,0.5,0,0.414059405940594,0.585940594059406,0.56,"116.550021631716",1.67306563185799
"event.times1973","+low",100,0.49,0.15,0.36,0.487623762376238,0.141683168316832,0.370693069306931,0.31,"144.03523881117",1.23984445396888
"event.times1974","full",100,0.88,0,0.12,0.871485148514851,0,0.128514851485149,0.01,"0",1.05624347023869
"event.times1975","low.var",100,0.2,0.36,0.44,0.214653465346535,0.357722772277228,0.427623762376238,0.44,"168.335448743963",0.872228151228317
"event.times1976","+high",100,0.03,0.5,0.47,0.0231683168316832,0.446237623762376,0.530594059405941,0.61,"92.0190441603499",1.40797758286324
"event.times1977","+low",100,0.46,0.13,0.41,0.393564356435644,0.146435643564356,0.46,0.3,"154.788104577141",0.99638194277662
"event.times1978","full",100,0.27,0.31,0.42,0.212574257425743,0.255445544554455,0.531980198019802,0.51,"87.0449795464296",1.17276691160088
"event.times1979","low.var",100,0.87,0,0.13,0.847623762376238,0,0.152376237623762,0.01,"0",1.21123720975485
"event.times1980","+high",100,0,0.52,0.48,0,0.516435643564356,0.483564356435644,0.6,"94.1803262227082",1.41303221508085
"event.times1981","+low",100,0.33,0.23,0.44,0.397029702970297,0.158316831683168,0.444653465346535,0.28,"127.202889963",0.94811779807734
"event.times1982","full",100,0.76,0,0.24,0.770693069306931,0,0.229306930693069,0.01,"0",0.89723719338393
"event.times1983","low.var",100,0.15,0.31,0.54,0.153564356435644,0.359009900990099,0.487425742574257,0.53,"105.180598295989",1.22517002216141
"event.times1984","+high",100,0,0.46,0.54,0,0.445544554455446,0.554455445544555,0.61,"110.157412044495",1.42732361301833
"event.times1985","+low",100,0.41,0.15,0.44,0.39980198019802,0.103465346534653,0.496732673267327,0.32,"199.895403077685",0.971112862038789
"event.times1986","full",100,0.36,0.22,0.42,0.36019801980198,0.249207920792079,0.390594059405941,0.48,"85.7859216810905",0.843042972841242
"event.times1987","low.var",100,0.28,0.22,0.5,0.293861386138614,0.211485148514851,0.494653465346535,0.47,"83.5166563606858",1.19551737235684
"event.times1988","+high",100,0,0.34,0.66,0,0.365346534653465,0.634653465346535,0.61,"44.8870536373416",1.69149639237743
"event.times1989","+low",100,0.31,0.24,0.45,0.25990099009901,0.21009900990099,0.53,0.26,"133.143967964049",0.803798078574532
"event.times1990","full",100,0.11,0.39,0.5,0.134455445544554,0.403168316831683,0.462376237623762,0.48,"158.598557464392",0.852215982810516
"event.times1991","low.var",100,0.24,0.21,0.55,0.23990099009901,0.292673267326733,0.467425742574257,0.47,"101.332052003447",1.02291366464045
"event.times1992","+high",100,0.05,0.33,0.62,0.0515841584158416,0.320594059405941,0.627821782178218,0.58,"98.3611566688645",1.71172748418796
"event.times1993","+low",100,0.77,0,0.23,0.774356435643564,0,0.225643564356436,0.01,"0",0.813129827271188
"event.times1994","full",100,0.33,0.23,0.44,0.353663366336634,0.268019801980198,0.378316831683168,0.39,"53.661643212628",1.64403897103013
"event.times1995","low.var",100,0.37,0.19,0.44,0.367920792079208,0.205940594059406,0.426138613861386,0.43,"115.075306483211",0.966263957225661
"event.times1996","+high",100,0,0.45,0.55,0,0.413168316831683,0.586831683168317,0.65,"101.114560591956",0.838913437191329
"event.times1997","+low",100,0.36,0.27,0.37,0.371683168316832,0.182079207920792,0.446237623762376,0.29,"91.3904641400436",0.724084730755782
"event.times1998","full",100,0.27,0.16,0.57,0.271881188118812,0.229306930693069,0.498811881188119,0.38,"109.875630291587",0.447957398262965
"event.times1999","low.var",100,0.11,0.28,0.61,0.123663366336634,0.321782178217822,0.554554455445545,0.42,"112.986110113276",1.10339858787985
"event.times2000","+high",120,0,0.44,0.56,0,0.505544554455446,0.494455445544554,0.58,"56.4559350351964",1.67670334779014
"event.times2001","+low",120,0.37,0.17,0.46,0.353465346534653,0.205247524752475,0.441287128712871,0.29,"125.911712216975",0.929640061424699
"event.times2002","full",120,0.36,0.15,0.49,0.323663366336634,0.164059405940594,0.512277227722772,0.48,"80.4946673570258",1.72069226693974
"event.times2003","low.var",120,0.18,0.23,0.59,0.16009900990099,0.259405940594059,0.58049504950495,0.42,"73.260303377606",0.866033923412091
"event.times2004","+high",120,0,0.33,0.67,0,0.365049504950495,0.634950495049505,0.59,"120.944353746999",1.18226909818342
"event.times2005","+low",120,0.32,0.21,0.47,0.328514851485149,0.236138613861386,0.435346534653465,0.31,"72.6732501514119",0.528659991823782
"event.times2006","full",120,0,0.25,0.75,0,0.227227722772277,0.772772277227723,0.48,"103.234618918187",0.542532978171307
"event.times2007","low.var",120,0.19,0.38,0.43,0.188019801980198,0.301089108910891,0.510891089108911,0.42,"101.888842975932",0.92244409877888
"event.times2008","+high",120,0,0.31,0.69,0,0.424059405940594,0.575940594059406,0.62,"80.8070328278468",1.13025484288102
