"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times1926","full",100,0.68,0,0.32,0.704950495049505,0,0.295049504950495,0.01,"0",0.597559306229221
"event.times1927","low.var",100,0.43,0.1,0.47,0.463861386138614,0.131881188118812,0.404257425742574,0.26,"183.227202820268",1.0172425003666
"event.times1928","+high",100,0.87,0,0.13,0.857722772277228,0,0.142277227722772,0.01,"0",1.26014419207013
"event.times1929","+low",100,0.53,0,0.47,0.507425742574257,0,0.492574257425743,0.02,"70.1465290709557",0.558414995962299
"event.times1930","full",100,0.74,0,0.26,0.726336633663366,0,0.273663366336634,0.01,"0",1.46567807852278
"event.times1931","low.var",100,0.33,0.16,0.51,0.375841584158416,0.195148514851485,0.429009900990099,0.29,"204.74517086353",1.11430891916712
"event.times1932","+high",100,0.05,0.29,0.66,0.0634653465346535,0.273069306930693,0.663465346534653,0.49,"185.69384486132",1.28965920519413
"event.times1933","+low",100,0.51,0,0.49,0.414554455445545,0,0.585445544554455,0.01,"0",1.03275344292367
"event.times1934","full",100,0.66,0,0.34,0.74990099009901,0,0.25009900990099,0.01,"0",0.26295471061746
"event.times1935","low.var",100,0.43,0.09,0.48,0.401584158415842,0.0961386138613861,0.502277227722772,0.25,"238.567365431715",1.00505820804642
"event.times1936","+high",100,0.18,0.37,0.45,0.222178217821782,0.339108910891089,0.438712871287129,0.42,"202.670511014764",0.92755704542475
"event.times1937","+low",100,0.6,0.05,0.35,0.592277227722772,0.0164356435643564,0.391287128712871,0.07,"246.815812712256",0.789226535358298
"event.times1938","full",100,0.22,0.09,0.69,0.178712871287129,0.156336633663366,0.664950495049505,0.3,"212.226190963344",0.783140638071736
"event.times1939","low.var",100,0.47,0.19,0.34,0.512475247524752,0.149306930693069,0.338217821782178,0.24,"215.900786075395",0.915345268096139
"event.times1940","+high",100,0,0.35,0.65,0,0.326039603960396,0.673960396039604,0.52,"146.988343446743",0.836491342559924
